C0:56:27:3A:34:29,48:F8:B3:24:A8:3F,F0:29:29:92:6B:50,B4:E9:B0:E5:0B:D0,Bin
31,70,61,43,1
44,70,61,44,1
42,68,56,44,1
49,64,56,40,1
56,69,53,40,1
41,70,55,44,1
45,68,63,45,1
43,70,63,45,1
40,70,61,51,1
44,70,62,51,1
45,70,62,44,1
40,70,57,41,1
43,70,57,49,1
46,70,49,43,1
41,70,56,44,1
39,70,58,47,1
44,70,64,48,1
41,70,64,44,1
43,70,52,53,1
40,70,58,41,1
44,67,53,48,1
44,68,50,45,1
38,70,55,48,1
42,70,56,48,1
41,70,56,47,1
44,70,61,41,1
47,70,66,44,1
36,70,50,47,1
40,69,50,43,1
44,70,52,41,1
33,70,59,41,1
42,67,60,42,1
36,70,58,43,1
37,67,55,47,1
40,68,57,47,1
36,66,56,47,1
44,69,56,45,1
23,70,55,47,1
49,64,56,49,1
40,70,56,49,1
35,70,60,54,2
35,65,55,53,2
36,70,49,49,2
38,65,57,49,2
30,68,55,48,2
24,68,53,49,2
35,66,53,52,2
36,70,64,45,2
42,70,59,45,2
42,70,58,45,2
42,70,55,48,2
33,70,55,48,2
36,70,63,49,2
39,66,60,47,2
39,70,65,51,2
39,70,58,52,2
37,66,61,46,2
39,68,58,47,2
32,70,55,47,2
38,70,60,48,2
39,70,54,44,2
37,70,54,51,2
38,68,57,49,2
38,65,57,49,2
37,70,54,48,2
39,70,54,48,2
33,69,54,45,2
30,69,55,50,2
40,69,63,44,2
39,67,51,46,2
26,67,58,45,2
30,70,57,44,2
37,70,66,44,2
37,67,58,46,2
33,70,64,43,2
35,69,64,47,2
35,70,59,47,2
34,70,57,44,2
29,65,60,45,2
32,64,61,43,2
32,66,59,43,2
32,65,62,39,2
29,68,58,41,2
32,67,54,44,2
35,69,61,41,2
39,69,61,40,2
40,70,56,46,2
36,68,61,47,2
34,70,53,49,2
33,67,57,48,2
25,69,48,43,3
25,59,50,45,3
25,66,41,50,3
31,63,52,50,3
33,65,53,42,3
34,64,56,42,3
36,67,56,39,3
32,62,53,42,3
37,66,59,39,3
31,66,59,38,3
34,70,58,46,3
34,70,60,41,3
37,68,53,39,3
32,68,54,39,3
35,66,56,40,3
37,63,58,40,3
34,70,58,43,3
33,70,58,43,3
34,70,58,44,3
35,70,61,44,3
35,70,56,44,3
33,67,52,42,3
36,68,52,42,3
31,70,53,44,3
29,70,53,44,3
31,66,56,44,3
34,65,53,44,3
37,67,56,44,3
36,64,55,41,3
32,69,57,41,3
32,66,53,44,3
33,64,55,44,3
27,68,55,44,3
27,68,58,44,3
27,67,55,44,3
27,67,55,45,3
26,70,58,44,3
24,60,56,45,3
21,70,59,47,3
21,70,56,47,3
21,70,56,47,3
29,68,48,45,3
29,64,51,45,3
29,66,54,45,3
25,65,53,45,3
25,64,53,50,3
25,63,54,50,3
24,65,52,50,3
28,63,48,50,3
32,62,54,50,3
31,63,55,50,3
38,70,59,49,3
31,68,64,49,3
38,70,64,54,3
33,70,55,52,3
33,70,59,50,3
32,70,60,51,3
35,70,60,47,3
36,70,51,49,3
33,70,53,44,3
32,69,58,45,3
38,67,57,50,3
34,70,57,50,4
36,70,52,50,4
30,64,55,54,4
35,65,54,44,4
35,63,56,43,4
32,65,53,49,4
34,62,53,49,4
29,62,56,48,4
26,68,54,45,4
33,70,53,48,4
33,69,54,39,4
32,69,55,46,4
30,68,55,49,4
23,67,56,49,4
36,68,54,47,4
30,70,58,47,4
34,69,58,53,4
36,66,56,51,4
36,60,56,50,4
39,70,46,50,4
36,69,53,50,4
34,68,58,47,4
31,66,52,46,4
30,69,47,47,4
30,68,50,48,4
31,67,50,42,4
23,66,50,42,4
32,66,50,45,4
32,66,50,48,4
32,69,60,51,4
39,61,60,48,4
38,62,54,47,4
38,60,56,43,4
35,64,61,43,4
38,64,53,49,4
29,65,53,45,4
32,66,51,50,4
28,67,53,48,4
38,68,52,48,4
33,63,51,48,4
24,61,50,48,4
31,68,49,47,4
